sorteo,fecha,game_code,codigo_categoria,aciertos,ganadores,premio_total,premio_individual
3216,2026-04-19,KINO,1,14,0,2884912348,0
3216,2026-04-19,KINO,2,13,9,12473396,1358214
3216,2026-04-19,KINO,3,12,365,3650000,10000
3216,2026-04-19,KINO,4,11,3925,15700000,4000
3216,2026-04-19,KINO,5,10,20383,30574500,1500
3216,2026-04-19,REKINO,6,14,0,396941093,0
3216,2026-04-19,REQUETEKINO,7,14,0,797686965,0
3217,2026-04-22,KINO,1,14,0,2947938480,0
3217,2026-04-22,KINO,2,13,8,7808948,956596
3217,2026-04-22,KINO,3,12,221,2210000,10000
3217,2026-04-22,KINO,4,11,2986,10451000,3500
3217,2026-04-22,KINO,5,10,17562,17562000,1000
3217,2026-04-22,REKINO,6,14,0,433977297,0
3217,2026-04-22,REQUETEKINO,7,14,0,832958830,0
3218,2026-04-24,KINO,1,14,0,2997857680,0
3218,2026-04-24,KINO,2,13,4,6286332,1540151
3218,2026-04-24,KINO,3,12,187,1870000,10000
3218,2026-04-24,KINO,4,11,2444,8554000,3500
3218,2026-04-24,KINO,5,10,14127,14127000,1000
3218,2026-04-24,REKINO,6,14,0,463071727,0
3218,2026-04-24,REQUETEKINO,7,14,0,860661243,0
3219,2026-04-26,KINO,1,14,0,3069690378,0
3219,2026-04-26,KINO,2,13,9,8770169,954974
3219,2026-04-26,KINO,3,12,300,3000000,10000
3219,2026-04-26,KINO,4,11,3205,11217500,3500
3219,2026-04-26,KINO,5,10,19054,19054000,1000
3219,2026-04-26,REKINO,6,14,0,506794397,0
3219,2026-04-26,REQUETEKINO,7,14,0,902518217,0
3220,2026-04-29,KINO,1,14,0,3135565958,0
3220,2026-04-29,KINO,2,13,8,8813052,1079599
3220,2026-04-29,KINO,3,12,365,3650000,10000
3220,2026-04-29,KINO,4,11,4091,14318500,3500
3220,2026-04-29,KINO,5,10,21789,21789000,1000
3220,2026-04-29,REKINO,6,14,0,548888414,0
3220,2026-04-29,REQUETEKINO,7,14,0,942774739,0
3221,2026-05-01,KINO,1,14,0,3179061996,0
3221,2026-05-01,KINO,2,13,4,5796112,1420047
3221,2026-05-01,KINO,3,12,172,1720000,10000
3221,2026-05-01,KINO,4,11,2299,8046500,3500
3221,2026-05-01,KINO,5,10,13631,13631000,1000
3221,2026-05-01,REKINO,6,14,0,576142284,0
3221,2026-05-01,REQUETEKINO,7,14,0,968823161,0
3222,2026-05-03,KINO,1,14,0,3248534523,0
3222,2026-05-03,KINO,2,13,8,9811975,1201967
3222,2026-05-03,KINO,3,12,404,4040000,10000
3222,2026-05-03,KINO,4,11,4958,17353000,3500
3222,2026-05-03,KINO,5,10,25557,25557000,1000
3222,2026-05-03,REKINO,6,14,0,625409932,0
3222,2026-05-03,REQUETEKINO,7,14,0,1016002578,0
3223,2026-05-06,KINO,1,14,0,3320651174,0
3223,2026-05-06,KINO,2,13,12,10150621,828967
3223,2026-05-06,KINO,3,12,474,4740000,10000
3223,2026-05-06,KINO,4,11,4981,17433500,3500
3223,2026-05-06,KINO,5,10,26309,26309000,1000
3223,2026-05-06,REKINO,6,14,0,675288988,0
3223,2026-05-06,REQUETEKINO,7,14,0,1063736187,0
3224,2026-05-08,KINO,1,14,0,3391050177,0
3224,2026-05-08,KINO,2,13,9,9452947,1029321
3224,2026-05-08,KINO,3,12,358,3580000,10000
3224,2026-05-08,KINO,4,11,4173,14605500,3500
3224,2026-05-08,KINO,5,10,23410,23410000,1000
3224,2026-05-08,REKINO,6,14,0,721656327,0
3224,2026-05-08,REQUETEKINO,7,14,0,1108178774,0
3225,2026-05-10,KINO,1,14,0,3512066176,0
3225,2026-05-10,KINO,2,13,13,17522683,1320941
3225,2026-05-10,KINO,3,12,379,3790000,10000
3225,2026-05-10,KINO,4,11,5145,20580000,4000
3225,2026-05-10,KINO,5,10,31165,46747500,1500
3225,2026-05-10,REKINO,6,14,0,783147040,0
3225,2026-05-10,REQUETEKINO,7,14,0,1165791170,0
3226,2026-05-13,KINO,1,14,0,3636364940,0
3226,2026-05-13,KINO,2,13,12,15706143,1282668
3226,2026-05-13,KINO,3,12,485,4850000,10000
3226,2026-05-13,KINO,4,11,6349,22221500,3500
3226,2026-05-13,KINO,5,10,37747,37747000,1000
3226,2026-05-13,REKINO,6,14,0,864583531,0
3226,2026-05-13,REQUETEKINO,7,14,0,1244068648,0
3227,2026-05-15,KINO,1,14,0,3727102592,0
3227,2026-05-15,KINO,2,13,12,11691567,954811
3227,2026-05-15,KINO,3,12,370,3700000,10000
3227,2026-05-15,KINO,4,11,4927,17244500,3500
3227,2026-05-15,KINO,5,10,27922,27922000,1000
3227,2026-05-15,REKINO,6,14,0,923475553,0
3227,2026-05-15,REQUETEKINO,7,14,0,1300503796,0
3228,2026-05-17,KINO,1,14,0,3824142594,0
3228,2026-05-17,KINO,2,13,25,13903244,545007
3228,2026-05-17,KINO,3,12,623,6230000,10000
3228,2026-05-17,KINO,4,11,7547,26414500,3500
3228,2026-05-17,KINO,5,10,37197,37197000,1000
3228,2026-05-17,REKINO,6,14,0,995020997,0
3228,2026-05-17,REQUETEKINO,7,14,0,1369031226,0
3229,2026-05-20,KINO,1,14,0,3959928962,0
3229,2026-05-20,KINO,2,13,52,22852882,430689
3229,2026-05-20,KINO,3,12,1586,15860000,10000
3229,2026-05-20,KINO,4,11,16058,56203000,3500
3229,2026-05-20,KINO,5,10,69411,69411000,1000
3229,2026-05-20,REKINO,6,14,0,1116165949,0
3229,2026-05-20,REQUETEKINO,7,14,0,1485833582,0
3230,2026-05-22,KINO,1,14,0,4080076079,0
3230,2026-05-22,KINO,2,13,10,15495685,1518577
3230,2026-05-22,KINO,3,12,540,5400000,10000
3230,2026-05-22,KINO,4,11,6643,23250500,3500
3230,2026-05-22,KINO,5,10,37724,37724000,1000
3230,2026-05-22,REKINO,6,14,0,1197019027,0
3230,2026-05-22,REQUETEKINO,7,14,0,1563654956,0
3231,2026-05-24,KINO,1,14,0,4230834380,0
3231,2026-05-24,KINO,2,13,18,18306214,996672
3231,2026-05-24,KINO,3,12,586,5860000,10000
3231,2026-05-24,KINO,4,11,6989,24461500,3500
3231,2026-05-24,KINO,5,10,40105,40105000,1000
3231,2026-05-24,REKINO,6,14,1,1293319371,1267452984
3231,2026-05-24,REQUETEKINO,7,14,0,1656194278,0
3232,2026-05-27,KINO,1,14,0,4357007799,0
3232,2026-05-27,KINO,2,13,15,15934318,1041042
3232,2026-05-27,KINO,3,12,494,4940000,10000
3232,2026-05-27,KINO,4,11,6626,23191000,3500
3232,2026-05-27,KINO,5,10,37627,37627000,1000
3232,2026-05-27,REKINO,6,14,0,77358117,0
3232,2026-05-27,REQUETEKINO,7,14,0,1730858682,0
3233,2026-05-29,KINO,1,14,0,4458289371,0
3233,2026-05-29,KINO,2,13,13,13215317,996232
3233,2026-05-29,KINO,3,12,516,5160000,10000
3233,2026-05-29,KINO,4,11,5871,20548500,3500
3233,2026-05-29,KINO,5,10,31407,31407000,1000
3233,2026-05-29,REKINO,6,14,0,140861043,0
3233,2026-05-29,REQUETEKINO,7,14,0,1792172021,0
3234,2026-05-31,KINO,1,14,0,4578832589,0
3234,2026-05-31,KINO,2,13,18,16034275,872977
3234,2026-05-31,KINO,3,12,705,7050000,10000
3234,2026-05-31,KINO,4,11,7216,25256000,3500
3234,2026-05-31,KINO,5,10,40315,40315000,1000
3234,2026-05-31,REKINO,6,14,0,221193443,0
3234,2026-05-31,REQUETEKINO,7,14,0,1869865065,0
3235,2026-06-03,KINO,1,14,0,4728340727,0
3235,2026-06-03,KINO,2,13,14,18633947,1304376
3235,2026-06-03,KINO,3,12,568,5680000,10000
3235,2026-06-03,KINO,4,11,7449,26071500,3500
3235,2026-06-03,KINO,5,10,43457,43457000,1000
3235,2026-06-03,REKINO,6,14,0,313157321,0
3235,2026-06-03,REQUETEKINO,7,14,1,1958781504,1919605874
3236,2026-06-05,KINO,1,14,0,4812865262,0
3236,2026-06-05,KINO,2,13,25,11691168,458294
3236,2026-06-05,KINO,3,12,601,6010000,10000
3236,2026-06-05,KINO,4,11,5759,20156500,3500
3236,2026-06-05,KINO,5,10,28398,28398000,1000
3236,2026-06-05,REKINO,6,14,0,364973799,0
3236,2026-06-05,REQUETEKINO,7,14,0,49324048,0
3237,2026-06-07,KINO,1,14,0,4905553767,0
3237,2026-06-07,KINO,2,13,33,14115571,419190
3237,2026-06-07,KINO,3,12,820,8200000,10000
3237,2026-06-07,KINO,4,11,8219,28766500,3500
3237,2026-06-07,KINO,5,10,39335,39335000,1000
3237,2026-06-07,REKINO,6,14,0,430472182,0
3237,2026-06-07,REQUETEKINO,7,14,0,111791339,0
3238,2026-06-10,KINO,1,14,0,5012683029,0
3238,2026-06-10,KINO,2,13,8,13055619,1599313
3238,2026-06-10,KINO,3,12,324,3240000,10000
3238,2026-06-10,KINO,4,11,4780,16730000,3500
3238,2026-06-10,KINO,5,10,28818,28818000,1000
3238,2026-06-10,REKINO,6,14,0,487613760,0
3238,2026-06-10,REQUETEKINO,7,14,0,165985404,0
3239,2026-06-12,KINO,1,14,0,5091769550,0
3239,2026-06-12,KINO,2,13,10,10146329,994340
3239,2026-06-12,KINO,3,12,343,3430000,10000
3239,2026-06-12,KINO,4,11,4107,14374500,3500
3239,2026-06-12,KINO,5,10,23145,23145000,1000
3239,2026-06-12,REKINO,6,14,0,530785304,0
3239,2026-06-12,REQUETEKINO,7,14,0,206728682,0
3240,2026-06-14,KINO,1,14,0,5195470353,0
3240,2026-06-14,KINO,2,13,9,12956582,1410828
3240,2026-06-14,KINO,3,12,362,3620000,10000
3240,2026-06-14,KINO,4,11,5038,17633000,3500
3240,2026-06-14,KINO,5,10,29742,29742000,1000
3240,2026-06-14,REKINO,6,14,0,589880856,0
3240,2026-06-14,REQUETEKINO,7,14,0,262710995,0
3241,2026-06-17,KINO,1,14,0,5293396883,0
3241,2026-06-17,KINO,2,13,19,12280303,633405
3241,2026-06-17,KINO,3,12,355,3550000,10000
3241,2026-06-17,KINO,4,11,4889,17111500,3500
3241,2026-06-17,KINO,5,10,27767,27767000,1000
3241,2026-06-17,REKINO,6,14,0,643210530,0
3241,2026-06-17,REQUETEKINO,7,14,0,313110730,0
3242,2026-06-19,KINO,1,14,0,5371221181,0
3242,2026-06-19,KINO,2,13,8,10373217,1270719
3242,2026-06-19,KINO,3,12,365,3650000,10000
3242,2026-06-19,KINO,4,11,4504,15764000,3500
3242,2026-06-19,KINO,5,10,25596,25596000,1000
3242,2026-06-19,REKINO,6,14,1,687527034,673776493
3242,2026-06-19,REQUETEKINO,7,14,0,354873500,0
3243,2026-06-21,KINO,1,14,0,5504630450,0
3243,2026-06-21,KINO,2,13,21,18438846,860479
3243,2026-06-21,KINO,3,12,542,5420000,10000
3243,2026-06-21,KINO,4,11,5913,23652000,4000
3243,2026-06-21,KINO,5,10,29682,44523000,1500
3243,2026-06-21,REKINO,6,14,0,57667978,0
3243,2026-06-21,REQUETEKINO,7,14,0,408758796,0
3244,2026-06-24,KINO,1,14,0,5590386705,0
3244,2026-06-24,KINO,2,13,15,11542321,754098
3244,2026-06-24,KINO,3,12,455,4550000,10000
3244,2026-06-24,KINO,4,11,5084,17794000,3500
3244,2026-06-24,KINO,5,10,29153,29153000,1000
3244,2026-06-24,REKINO,6,14,0,105909391,0
3244,2026-06-24,REQUETEKINO,7,14,0,454554779,0
